Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Ну разве не романтично?,2019,89.0,"['мюзикл', 'фэнтези', 'мелодрама', 'комедия']",6.252,5.9,6.2,0.0,33421,75072,182,0,112164013.0,2019-02-11T00:00:00.000Z,2019-02-11T00:00:00.000Z,48791187.0
Спенсер,2021,117.0,"['биография', 'драма', 'мелодрама']",6.176,6.5,7.6,47.0588,33416,79444,366,17,112164013.0,2021-12-09T00:00:00.000Z,2021-09-03T00:00:00.000Z,25246967.0
Ромео и Джульетта,2013,118.0,"['драма', 'мелодрама']",7.042,5.8,0.0,33.3333,33406,12886,0,3,112164013.0,2013-10-17T00:00:00.000Z,2013-09-24T00:00:00.000Z,2966268.0
В поисках приключений,1996,91.0,"['боевик', 'триллер', 'драма', 'приключения', 'криминал']",7.126,5.6,3.9,0.0,33405,28990,21,0,30000000.0,1996-04-19T00:00:00.000Z,1996-04-19T00:00:00.000Z,57400547.0
Знакомство родителей,2024,110.0,"['мелодрама', 'комедия']",7.422,0.0,0.0,0.0,33307,0,0,1,112164013.0,2025-02-06T00:00:00.000Z,2025-02-06T00:00:00.000Z,112164013.0
Бессмертные: Война миров,2004,103.0,"['фантастика', 'фэнтези', 'мелодрама']",6.188,5.9,0.0,0.0,33303,22013,0,2,24089000.0,2004-05-13T00:00:00.000Z,2004-03-13T00:00:00.000Z,7158118.0
Мысль о тебе,2024,115.0,"['драма', 'мелодрама', 'комедия']",6.759,6.3,6.5,0.0,33289,71500,180,2,112164013.0,2024-03-16T00:00:00.000Z,2024-03-16T00:00:00.000Z,36178.0
13 убийц,2010,141.0,"['боевик', 'драма']",7.12,7.5,7.9,0.0,33259,69803,129,0,6000000.0,2011-10-06T00:00:00.000Z,2010-09-09T00:00:00.000Z,18689058.0
"Те, кто желает мне смерти",2021,100.0,"['боевик', 'триллер', 'драма']",5.968,6.0,5.7,75.0,33258,75563,224,8,112164013.0,2021-05-13T00:00:00.000Z,2021-05-05T00:00:00.000Z,19107200.0
Черепашки-ниндзя,1990,93.0,"['фантастика', 'боевик', 'комедия']",7.032,6.8,5.2,0.0,33252,107635,54,0,13500000.0,1990-03-30T00:00:00.000Z,1990-03-30T00:00:00.000Z,201965915.0
