name,type,year,movieLength,genres,rating.kp,rating.imdb,rating.filmCritics,rating.russianFilmCritics,rating.await,votes.kp,votes.imdb,votes.filmCritics,votes.russianFilmCritics,votes.await,budget.currency,budget.value,premiere.country,premiere.digital,premiere.cinema,premiere.bluray,premiere.dvd,premiere.russia,premiere.world,fees.russia.value,fees.russia.currency,fees.usa.value,fees.usa.currency,fees.world.value,fees.world.currency,distributors.distributor,distributors.distributorRelease,fees.russia,fees.usa,fees.world
Советник,movie,2013,117.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}, {'name': 'детектив'}, {'name': 'приключения'}]",5.581,5.4,5.0,70.8333,,61526,107475,218,24,0,$,25000000.0,,,,2014-03-27T00:00:00.000Z,2014-03-27T00:00:00.000Z,2013-10-31T00:00:00.000Z,2013-10-03T00:00:00.000Z,5461734.0,$,16973715.0,$,71009334.0,$,Двадцатый Век Фокс СНГ,Двадцатый Век Фокс СНГ,,,
Вивариум,movie,2019,97.0,"[{'name': 'фантастика'}, {'name': 'драма'}, {'name': 'триллер'}]",6.103,5.9,6.6,87.5,,61497,80115,155,8,0,$,4000000.0,,2020-09-17T00:00:00.000Z,,,,2022-04-28T00:00:00.000Z,2019-05-18T00:00:00.000Z,53909.0,$,,,487625.0,$,,,,,
Дылда,movie,2019,130.0,"[{'name': 'драма'}, {'name': 'военный'}]",6.588,7.2,7.8,80.6452,,61487,12606,110,31,0,,,,2019-10-03T00:00:00.000Z,,,,2019-06-20T00:00:00.000Z,2019-05-16T00:00:00.000Z,431548.0,$,196258.0,$,1591621.0,$,,,,,
На несколько долларов больше,movie,1965,130.0,"[{'name': 'вестерн'}, {'name': 'драма'}, {'name': 'боевик'}]",8.144,8.2,8.1,0.0,,61486,285054,38,0,0,$,600000.0,,,,2010-06-17T00:00:00.000Z,2002-01-14T00:00:00.000Z,,1965-12-18T00:00:00.000Z,,,15000000.0,$,15000000.0,$,,"Двадцатый Век Фокс СНГ, DVD Магия",,,
Смертельное оружие 2,movie,1989,114.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}]",7.865,7.3,6.9,0.0,,61366,194049,44,0,0,$,28000000.0,,,,2010-11-16T00:00:00.000Z,2001-08-08T00:00:00.000Z,,1989-07-05T00:00:00.000Z,,,147253986.0,$,227853986.0,$,,"Юниверсал Пикчерс Рус, Мост-Видео",,,
Спайдервик: Хроники,movie,2008,96.0,"[{'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}, {'name': 'приключения'}, {'name': 'семейный'}]",6.815,6.5,6.7,0.0,,61341,105247,149,1,0,$,90000000.0,,,,2009-10-20T00:00:00.000Z,2009-09-02T00:00:00.000Z,2008-03-20T00:00:00.000Z,2008-01-31T00:00:00.000Z,4161300.0,$,71195053.0,$,162839667.0,$,UPI,Юниверсал Пикчерс Рус,,,
Похищенная,movie,2011,99.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}, {'name': 'приключения'}]",6.162,6.2,5.9,0.0,,61292,31277,30,0,0,$,4000000.0,,,,,2012-04-18T00:00:00.000Z,,2011-04-09T00:00:00.000Z,,,,,442550.0,$,,,,,
Машина времени в джакузи,movie,2010,100.0,"[{'name': 'фантастика'}, {'name': 'комедия'}]",6.256,6.4,6.1,66.6667,,61271,190640,210,3,0,$,36000000.0,,,,2010-08-12T00:00:00.000Z,2010-06-10T00:00:00.000Z,2010-05-13T00:00:00.000Z,2010-03-17T00:00:00.000Z,1664804.0,$,50287556.0,$,64572262.0,$,Люксор,"Новый Диск, CD Land",,,
Бэтмен навсегда,movie,1995,121.0,"[{'name': 'боевик'}, {'name': 'приключения'}]",6.494,5.4,5.2,0.0,,61259,272280,71,0,0,$,100000000.0,,,,,2001-03-27T00:00:00.000Z,,1995-06-09T00:00:00.000Z,,,184031112.0,$,336529144.0,$,,Мост-Видео,,,
Волна,movie,2015,105.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}]",6.529,6.6,6.6,50.0,,61176,44433,109,4,0,NOK,50000000.0,,2015-12-28T00:00:00.000Z,,,,2015-12-10T00:00:00.000Z,2015-08-16T00:00:00.000Z,111357.0,$,177404.0,$,12975143.0,$,,,,,
